anio,mes,dia,hora(utc),altura(mm)
2016,1,19,6,485 
2016,1,19,7,468 
2016,1,19,8,506 
2016,1,19,9,595 
2016,1,19,10,711 
2016,1,19,11,819 
2016,1,19,12,892 
2016,1,19,13,910 
2016,1,19,14,858 
2016,1,19,15,734 
2016,1,19,16,557 
2016,1,19,17,354 
2016,1,19,18,152 
2016,1,19,19,-22 
2016,1,19,20,-137 
2016,1,19,21,-169 
2016,1,19,22,-113 
2016,1,19,23,15 
2016,1,20,0,183 
2016,1,20,1,366 
2016,1,20,2,539 
2016,1,20,3,663 
2016,1,20,4,703 
2016,1,20,5,662 
2016,1,20,6,573 
2016,1,20,7,481 
2016,1,20,8,436 
2016,1,20,9,469 
2016,1,20,10,577 
2016,1,20,11,724 
2016,1,20,12,862 
2016,1,20,13,957 
2016,1,20,14,984 
2016,1,20,15,927 
2016,1,20,16,783 
2016,1,20,17,571 
2016,1,20,18,325 
2016,1,20,19,79 
2016,1,20,20,-128 
2016,1,20,21,-256 
2016,1,20,22,-274 
2016,1,20,23,-181 
2016,1,21,0,-8 
2016,1,21,1,209 
2016,1,21,2,439 
2016,1,21,3,643 
2016,1,21,4,763 
2016,1,21,5,767 
2016,1,21,6,677 
2016,1,21,7,545 
2016,1,21,8,426 
2016,1,21,9,379 
2016,1,21,10,437 
2016,1,21,11,585 
2016,1,21,12,767 
2016,1,21,13,926 
2016,1,21,14,1029 
2016,1,21,15,1052 
2016,1,21,16,974 
2016,1,21,17,792 
2016,1,21,18,538 
2016,1,21,19,257 
2016,1,21,20,-13 
2016,1,21,21,-228 
2016,1,21,22,-338 
2016,1,21,23,-315 
2016,1,22,0,-174 
2016,1,22,1,42 
2016,1,22,2,294 
2016,1,22,3,548 
2016,1,22,4,746 
2016,1,22,5,823 
2016,1,22,6,768 
2016,1,22,7,630 
2016,1,22,8,471 
2016,1,22,9,351 
2016,1,22,10,333 
2016,1,22,11,440 
2016,1,22,12,632 
2016,1,22,13,837 
2016,1,22,14,1000 
2016,1,22,15,1093 
2016,1,22,16,1091 
2016,1,22,17,970 
2016,1,22,18,739 
2016,1,22,19,451 
2016,1,22,20,155 
2016,1,22,21,-113 
2016,1,22,22,-302 
